 RI_ACCESSION 	 GENUS        	 SPECIES      	 ACP          	 ACNO         	 ACCID        	 GEOCTY       	 GEOSTA       	 LAT          	 LON          	 ACELLO       	 LOCALITY     	 PEDIGREE     	 SAMPSTAT     	 SOURCE       	 KERNELS      	 NOTES        	 FLAG         
RIMMA1006	Zea	mays subsp. mays	PI	390554	NA	NA	NA	NA	NA	NA	NA	PI 390554-1-1-B-B2-B2	NA	Murray	NA	CS12-BMS-011-BL\ L: UCD t: JRI plot: 1\ 50 seeds	NA
RIMMA1007	Zea 	mays subsp. mays	Ames	28502	NA	NA	NA	NA	NA	NA	San Marcos, Guatemala	NA	Serrano	Holland/Goodman	NA	Gua_Highland5k, elevation: 3049. Vig_ID: GUA_940. Lat N15:02, Long: w91:47	NA
RIMMA1008	Zea	mays subsp. mays	Ames	28530	NA	NA	NA	NA	NA	NA	Totonicapan	NA	Negro_de_Tierra_Fria	Holland/Goodman	NA	Gua_Highland 10K Lat: N14:55, Long: W91:20, Elevation:2774 Vig ID: GUA_524	NA
RIMMA1009	Zea	mays subsp. mays	Ames 	28536	NA	NA	NA	NA	NA	NA	Quezaltenango, Guatemala	NA	Salpor	Holland/Goodman	NA	Gua_Highland 10K, Lat:N14:51, long: W91:32, Elevation: 2317, Vig_ID: GUA_476	NA
RIMMA1010	Zea	mays subsp. mays		NA	NA	NA	NA	16.85	-99.067	NA	La Concordia, Guerrero	NA	Pepitilla	Holland/Goodman	NA	Mex_Lowland 5K, elevation:201, ID: 2376-GRO-297 (INIFAP), 25265 (CIMMYT),  from list of maize sympatric to parviglumis	NA
RIMMA1011	Zea	mays subsp. mays	Ames	28491	NA	NA	NA	NA	NA	NA	Quezaltenango, Guatemala	NA	Imbricado	Holland/Goodman	NA	Gua_highland 10k, Lat: N14:49, Long: W91:38, Elevation2317, Vig_ID: Gua_493	NA
RIMMA1012	Zea 	mays ssp. Mays	PI	218136	NA	NA	NA	NA	NA	NA	United states New Mexico	NA	Tesuque Pueblo	NA	200	NA	NA
RIMMA1013	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL1 	NA
RIMMA1014 	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL2	NA
RIMMA1015 	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL3	NA
RIMMA1016 	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL4	NA
RIMMA1017 	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL5	NA
RIMMA1018 	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL6	NA
RIMMA1019 	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL7	NA
RIMMA1020 	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL8	NA
RIMMA1021 	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL9	NA
RIMMA1022 	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL10	NA
RIMMA1023 	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL11	NA
RIMMA1024	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL12	NA
RIMMA1025	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL13	NA
RIMMA1026	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL14	NA
RIMMA1027	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL15	NA
RIMMA1028	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL16	NA
RIMMA1029	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL17	NA
RIMMA1030	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL18	NA
RIMMA1031	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL19	NA
RIMMA1032	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL20	NA
RIMMA1033	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL21	NA
RIMMA1034	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL22	NA
RIMMA1035	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL23	NA
RIMMA1036	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL24	NA
RIMMA1037	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL25	NA
RIMMA1038	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL26	NA
RIMMA1039	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL27	NA
RIMMA1040	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL28	NA
RIMMA1041	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL29	NA
RIMMA1042	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL30	NA
RIMMA1043	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL31	NA
RIMMA1044	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL32	NA
RIMMA1045	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL33	NA
RIMMA1046	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL34	NA
RIMMA1047	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL35	NA
RIMMA1048	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL36	NA
RIMMA1049	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL37	NA
RIMMA1050	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL38	NA
RIMMA1051	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL39	NA
RIMMA1052	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL40	NA
RIMMA1053	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL41	NA
RIMMA1054	Zea	mays ssp. Mays		NA	NA			NA	NA	NA				Flint-Garcia	50	NIL42	NA
RIMMA1055	Zea	mays ssp. Mays											inbred line	Maize Genetics Co-op	10	UFMu-00915	
RIMMA1056	Zea	mays ssp. Mays											inbred line	Maize Genetics Co-op	10	UFMu-01535	
RIMMA1057	Zea	mays ssp. Mays											inbred line	Maize Genetics Co-op	10	UFMu-02896	
RIMMA1058	Zea	mays ssp. Mays											inbred line	Maize Genetics Co-op	10	UFMu-03053	
RIMMA1059	Zea	mays ssp. Mays											inbred line	Maize Genetics Co-op	10	UFMu-03509	
RIMMA1060	Zea	mays ssp. Mays											inbred line	Maize Genetics Co-op	10	UFMu-03723	
RIMMA1061	Zea	mays ssp. Mays											inbred line	Maize Genetics Co-op	10	UFMu-06435	
RIMMA1062	Zea	mays ssp. Mays											inbred line	Maize Genetics Co-op	10	UFMu-06452	
RIMMA1063	Zea	mays ssp. Mays											inbred line	Maize Genetics Co-op	10	UFMu-06505	
RIMMA1064	Zea	mays ssp. Mays											inbred line	Maize Genetics Co-op	10	UFMu-06571	
RIMMA1065	Zea	mays ssp. Mays											inbred line	Maize Genetics Co-op	10	UFMu-07607	
RIMMA1066	Zea	mays ssp. Mays											inbred line	Maize Genetics Co-op	10	UFMu-08039	
RIMMA1067	Zea	mays ssp. Mays											inbred line	Maize Genetics Co-op	10	UFMu-08184	
RIMMA1068	Zea	mays ssp. Mays											inbred line	Maize Genetics Co-op	10	UFMu-09561	
RIMMA1069	Zea	mays ssp. Mays											inbred line	Maize Genetics Co-op	10	UFMu-09993	
RIMMA1070	Zea	mays ssp. Mays											inbred line	Maize Genetics Co-op	10	UFMu-11009	
RIMMA1071	Zea	mays ssp. Mays											inbred line	Maize Genetics Co-op	10	UFMu-11221	
RIMMA1072	Zea	mays ssp. Mays											inbred line	Maize Genetics Co-op	10	UFMu-13897	
RIMME0001	Zea	mays subsp. mexicana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Dawe	NA	3-2 x 2-3	NA
RIMME0002	Zea	mays subsp. mexicana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Dawe	NA	2-3 self	NA
RIMME0003	Zea	mays subsp. mexicana	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Dawe	NA	2-3 self	NA
RIMME0004	Zea	mays subsp. mexicana	Ames	21843	87233	Mexico	Chihuahua	NA	NA	NA	NA	NA	Wild	USDA	NA	NA	NA
RIMME0005	Zea	mays subsp. mexicana	PI	566677	461648	Mexico	Michoacan	20.1667	-101.867	1750	Heavy black soil  in unweeded sorghum field  Penjamillo	NA	Wild	USDA	NA	NA	NA
RIMME0006	Zea	mays subsp. mexicana	PI	566673	461644	Mexico	Durango	24.1833	-104.4	1950	Wet areas along canals and dikes  Hacienda Alcalde near Francisco Villa  3km off Durango-Zacatecas Road between Puente Gavilanes and Fuente Dalilia  about 15km S of Durango	NA	Wild	USDA	NA	NA	NA
RIMME0007	Zea	mays subsp. mexicana	PI	566680	461651	Mexico	Guanajuato	20.1333	-101.1	1775	Maize field on south facing slope of hill above Uriangato  road Morelia to Celaya	NA	Wild	USDA	NA	NA	NA
RIMME0008	Zea	mays subsp. mexicana	PI	566681	461652	Mexico	Michoacan	19.7	-100.567	2090	Ten km W of Ciudad Hidalgo on R side of Morelia-Toluca road  by stream for 10km	NA	Wild	USDA	NA	NA	NA
RIMME0009	Zea	mays subsp. mexicana	PI	566682	461653	Mexico	Federal District	19.5167	-98.8	2250	Abundant in fields of maize  San Felipe  along cut off road across lake Texcoco to Mexico City  Edo de Mexico	NA	Wild	USDA	NA	NA	NA
RIMME0010	Zea	mays subsp. mexicana	PI	566683	461654	Mexico	Mexico	19.25	-98.85	2250	In field at split of the Chalco-Miraflores Road  La Pala  Chalco  Edo de Mexico	NA	Wild	USDA	NA	NA	NA
RIMME0011	Zea	mays subsp. mexicana	PI	566685	461656	Mexico	Mexico	19.3667	-98.9667	2200	Los Reyes  in Y formed by Texcoco and Puebla road into Mexico City near the terminal of a subway line  Edo de Mexico	NA	Wild	USDA	NA	NA	NA
RIMME0012	Zea	mays subsp. mexicana	PI	384060	288182	Mexico	Oaxaca	17.05	-96.7167	NA	Fabrico San Jose  near Oaxaca.	NA	Other	USDA	NA	NA	NA
RIMME0013	Zea	mays subsp. mexicana	Ames	21846	87236	Mexico	Chihuahua	NA	NA	NA	NA	NA	Wild	USDA	NA	NA	NA
RIMME0014	Zea	mays subsp. mexicana	Ames	28398	714151	NA	NA	NA	NA	NA	NA	Puga: 11066	Breeder's line	Doebley	NA	generation S6; seed lot TIP-491 stock me TIL25 packet 16673	NA
RIMME0015	Zea	mays subsp. mexicana	PI	566674	461645	Mexico	Durango	24.0167	-104.483	1950	Along cement lined irrigation canals over railroad bridge  about 20km from Durango on road to Zacatecas  Puente Gavilanes	NA	Wild	USDA	NA	Central Plateau; generation S1; Hufford line M2B	NA
RIMME0015	Zea	mays subsp. mexicana	PI	566674	461645	Mexico	Durango	24.0167	-104.483	1950	Along cement lined irrigation canals over railroad bridge  about 20km from Durango on road to Zacatecas  Puente Gavilanes	NA	Wild	USDA	NA	Central Plateau	NA
RIMME0015	Zea	mays subsp. mexicana	PI	566674	461645	Mexico	Durango	24.0167	-104.483	1950	Along cement lined irrigation canals over railroad bridge  about 20km from Durango on road to Zacatecas  Puente Gavilanes	NA	Wild	USDA	NA	Central Plateau; generation S1; Hufford line M2B	NA
RIMME0015	Zea	mays subsp. mexicana	PI	566674	461645	Mexico	Durango	24.0167	-104.483	1950	Along cement lined irrigation canals over railroad bridge  about 20km from Durango on road to Zacatecas  Puente Gavilanes	NA	Wild	USDA	NA	Central Plateau	NA
RIMME0015	Zea	mays subsp. mexicana	PI	566674	461645	Mexico	Durango	24.0167	-104.483	1950	Along cement lined irrigation canals over railroad bridge  about 20km from Durango on road to Zacatecas  Puente Gavilanes	NA	Wild	USDA	NA	Central Plateau; generation S1; Hufford line M2B	NA
RIMME0015	Zea	mays subsp. mexicana	PI	566674	461645	Mexico	Durango	24.0167	-104.483	1950	Along cement lined irrigation canals over railroad bridge  about 20km from Durango on road to Zacatecas  Puente Gavilanes	NA	Wild	USDA	NA	Central Plateau	NA
RIMME0016	Zea	mays subsp. mexicana	Ames	8083	42246	Mexico	Federal District	NA	NA	NA	NA	NA	Wild	USDA	NA	Chalco; generations S1; Hufford line M3E; all seeds used	NA
RIMME0016	Zea	mays subsp. mexicana	Ames	8083	42246	Mexico	Federal District	NA	NA	NA	NA	NA	Wild	USDA	NA	Chalco	NA
RIMME0016	Zea	mays subsp. mexicana	Ames	8083	42246	Mexico	Federal District	NA	NA	NA	NA	NA	Wild	USDA	NA	Chalco; generations S1; Hufford line M3E; all seeds used	NA
RIMME0016	Zea	mays subsp. mexicana	Ames	8083	42246	Mexico	Federal District	NA	NA	NA	NA	NA	Wild	USDA	NA	Chalco	NA
RIMME0016	Zea	mays subsp. mexicana	Ames	8083	42246	Mexico	Federal District	NA	NA	NA	NA	NA	Wild	USDA	NA	Chalco; generations S1; Hufford line M3E; all seeds used	NA
RIMME0016	Zea	mays subsp. mexicana	Ames	8083	42246	Mexico	Federal District	NA	NA	NA	NA	NA	Wild	USDA	NA	Chalco	NA
RIMME0017	Zea	mays subsp. mexicana	Ames	28079	699874	Mexico	Jalisco	20.4206	-102.347	1597	Ayotlan. Population: San Jeronimo (Cerro Grande).	NA	Wild	USDA	NA	NA	NA
RIMME0018	Zea	mays subsp. mexicana	NA	NA	NA	Mexico	Chihuahua	26.2465	106.915	NA	Nabogame	NA	Wild	Lubinsky	NA	Collected: 10/22/08 Individuals: A1-O1 and A2-O2 (30) Notes: Each sample has two inflorescences	NA
RIMME0019	Zea	mays subsp. mexicana	NA	NA	NA	Mexico	Michoacan	20.1176	101.93	NA	Penjamillo	NA	Wild	Lubinsky	NA	Collected: 10/29/08 Individuals: A-O (15) Notes: Plastic bag has two seeds not in a paper bag	NA
RIMME0020	Zea	mays subsp. mexicana	NA	NA	NA	Mexico	Mexico	18.9531	99.503	NA	Malinalco	NA	Wild	Lubinsky	NA	Collected: 11/2/08 Individuals: A-Q (17) Notes:	NA
RIMME0021	Zea	mays subsp. mexicana	NA	NA	NA	Mexico	Michoacan	19.6789	100.64	NA	El Porvenir	NA	Wild	Lubinsky	NA	Collected: 11/19/08 Individuals: A-R (18) Notes: Includes 3 hybrids (P,Q,R)	NA
RIMME0022	Zea	mays subsp. mexicana	NA	NA	NA	Mexico	Mexico	19.139	98.7733	NA	Amecameca	NA	Wild	Lubinsky	NA	Collected: 11/13/08 Individuals: A-P (16) Notes:	NA
RIMME0023	Zea	mays subsp. mexicana	NA	NA	NA	Mexico	Mexico	19.2351	98.8368	NA	Tlapala	NA	Wild	Lubinsky	NA	Collected: 11/14/08 Individuals: A-L (12) Notes: In wheat field	NA
RIMME0024	Zea	mays subsp. mexicana	NA	NA	NA	Mexico	Mexico	19.3764	99.6303	NA	Jicaltepec (San Pablo Autopan)		Wild	Lubinsky	NA	Collected: 11/1/08 Individuals: A-O (15) Notes:	NA
RIMME0025	Zea	mays subsp. mexicana	NA	NA	NA	Mexico	Mexico	19.2244	98.8427	NA	Cocotilan	NA	Wild	Lubinsky	NA	Collected: 11/14/08 Individuals: A-O (15) Notes: 2nd \Chalo\"\" site w/ maiz hibrido (short) + 2 Crillo\""	NA
RIMME0026	Zea	mays subsp. mexicana	NA	NA	NA	Mexico	Michoacan	19.4181	101.613	NA	Opopeo	NA	Wild	Lubinsky	NA	Collected: 10/30/08 Individuals: A-Q (17) Notes: Includes 2 hybrids  (P,Q) with seeds out in the plastic bag	NA
RIMME0027	Zea	mays subsp. mexicana	NA	NA	NA	Mexico	Morelos	18.9719	99.0551	NA	Amatlan	NA	Wild	Lubinsky	NA	Collected: 11/1/08 Individuals: A-P (16) Notes: Soccer Field and in Jicaltepec bag (RIMME0024)	NA
RIMME0028	Zea	mays subsp. mexicana	NA	NA	NA	Mexico	Michoacan	20.1076	101.49	NA	Puruandiro(Victor)		Wild	Lubinsky	NA	Collected: 10/29/08 Individuals: A-O (15) Notes: Bag A no seeds and X duplicated (?)	NA
RIMME0029	Zea	mays subsp. mexicana	NA	NA	NA	Mexico	Michoacan	20.1683	102.373	NA	Ixtlan	NA	Wild	Lubinsky	NA	Collected: 10/28/08 Individuals: A-T(20) Notes: 10 Milo + 10 Pioneer(?); ¥ Volunteers inside/surrounding sorghum field	NA
RIMME0030	Zea	mays subsp. mexicana	NA	NA	NA	Mexico	Puebla	19.0886	98.4935	NA	San Pedro	NA	Wild	Lubinsky	NA	Collected: 11/12/08 Individuals: A-S (19) Notes:	NA
RIMME0031	Zea	mays subsp. mexicana	NA	NA	NA	Mexico	Mexico	19.1197	99.5896	NA	Tenango del Aire		Wild	Lubinsky	NA	Collected: 10/31/08 Individuals: A-O (14) Notes: Paper bag E (#5) missing	NA
RIMME0032	Zea	mays subsp. mexicana	NA	NA	NA	Mexico	Chihuahua	26.2465	106.915	NA	Nabogame	NA	Wild	Lubinsky	NA	Collected: 10/22/08 Individuals: A-K (11) Notes: All 11 are hybrids with cultivated maize	NA
RIMME0033	Zea	mays subsp. mexicana	NA	NA	NA	Mexico	Morelos	18.9725	99.0298	NA	Puerta Encantada (Amatlan)	NA	Wild	Lubinsky	NA	Collected: 11/16/08 Individuals: A-Q (17) Notes: \La Puerta\"\" Control and Bag C (#3) no seeds\""	NA
RIMME0034	Zea	mays subsp. mexicana	NA	NA	NA	Mexico	Michoacan	19.4184	101.642	NA	Santa Clara	NA	Wild	Lubinsky	NA	Collected: 10/30/08 Individuals: A-O (15) Notes: Bag A (#1) seeds are white and not stable	NA
RIMME0035	Zea	mays subsp. mexicana	NA	NA	NA	Mexico	Distrito Federal	19.2861	99.0827	NA	Xochimilco	NA	Wild	Lubinsky	NA	Collected: 11/4/08 Individuals: A-O (15) Notes:	NA
RIMME0036	Zea	mays subsp. mexicana	NA	NA	NA	Mexico	Mexico	19.35	-98.8833	2200	San Francisco Acuautla, Ixtapaluca	NA	NA	NA	NA	NA	NA
RIMME0037	Zea	mays subsp. mexicana	NA	NA	NA	Mexico\ 	NA	NA	NA	NA	San Jose Fabrica; Chalco	NA	Wild	Beadle	NA	Chalco teosinte colllected by Beadle in the 1972 Galinat teosinte Hunt; sent by Beadle to Giles Waines at UCR. Date says 2/3/72; probably Ames 21840.	NA
RIMME0038	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	Packet 16666\ line:TIL18\ 	NA
RIMME0040	Zea	mays subsp. mexicana	NA	NA	NA	Mexico\ 	NA	NA	NA	NA	San Jose Fabrica; Chalco	NA	Wild	Beadle	NA	Chalco teosinte colllected by Beadle in the 1972 Galinat teosinte Hunt; sent by Beadle to Giles Waines at UCR. Date says 2/1/73 but 2/1/72 (or 2/3/72) more likely; probabl same as Ames 21840.	NA
RIMPA0001	Zea	mays subsp. parviglumis	Ames	21786	87168	Mexico	Guerrero	NA	NA	NA	El Salada.	NA	Wild	USDA	NA	NA	NA
RIMPA0002	Zea	mays subsp. parviglumis	Ames	21787	87169	Mexico	Guerrero	NA	NA	NA	El Salado.	NA	Wild	USDA	NA	NA	NA
RIMPA0003	Zea	mays subsp. parviglumis	Ames	21789	87171	Mexico	Guerrero	NA	NA	NA	Mazatlan.	NA	Wild	USDA	NA	NA	NA
RIMPA0004	Zea	mays subsp. parviglumis	Ames	21790	87172	Mexico	Guerrero	NA	NA	NA	Mazatlan.	NA	Wild	USDA	NA	NA	NA
RIMPA0005	Zea	mays subsp. parviglumis	Ames	21793	87175	Mexico	Guerrero	NA	NA	NA	Mazatlan.	NA	Wild	USDA	NA	NA	NA
RIMPA0006	Zea	mays subsp. parviglumis	Ames	21796	87179	Mexico	Guerrero	NA	NA	NA	El Salada/Mazatlan.	NA	Wild	USDA	NA	NA	NA
RIMPA0007	Zea	mays subsp. parviglumis	Ames	21797	87180	Mexico	Guerrero	NA	NA	NA	Mazatlan/El Salado.	NA	Wild	USDA	NA	NA	NA
RIMPA0008	Zea	mays subsp. parviglumis	Ames	21798	87181	Mexico	Guerrero	NA	NA	NA	El Salado.	NA	Wild	USDA	NA	NA	NA
RIMPA0009	Zea	mays subsp. parviglumis	Ames	21799	87182	Mexico	Guerrero	NA	NA	NA	El Salado/Mazatlan.	NA	Wild	USDA	NA	NA	NA
RIMPA0010	Zea	mays subsp. parviglumis	Ames	21800	87184	Mexico	Guerrero	NA	NA	NA	El Salado/Mazatlan.	NA	Wild	USDA	NA	NA	NA
RIMPA0011	Zea	mays subsp. parviglumis	Ames	21801	87185	Mexico	Guerrero	NA	NA	NA	El Salada/Mazatlan.	NA	Wild	USDA	NA	NA	NA
RIMPA0012	Zea	mays subsp. parviglumis	Ames	21802	87186	Mexico	Guerrero	NA	NA	NA	El Salado/Mazatlan.	NA	Wild	USDA	NA	NA	NA
RIMPA0013	Zea	mays subsp. parviglumis	Ames	21803	87187	Mexico	Guerrero	NA	NA	NA	El Salado/Mazatlan.	NA	Wild	USDA	NA	NA	NA
RIMPA0014	Zea	mays subsp. parviglumis	Ames	21808	87194	Mexico	Guerrero	17.55	-99.5	NA	30 km south of Chilpancingo.	NA	Wild	USDA	NA	NA	NA
RIMPA0015	Zea	mays subsp. parviglumis	Ames	21809	87195	Mexico	Guerrero	17.4333	-99.4667	NA	1 mile south of Palo Blanco.	NA	Wild	USDA	NA	NA	NA
RIMPA0016	Zea	mays subsp. parviglumis	Ames	21812	87198	Mexico	Guerrero	18.35	-99.85	NA	2 west of Teloloapan.	NA	Wild	USDA	NA	NA	NA
RIMPA0017	Zea	mays subsp. parviglumis	Ames	21814	87200	Mexico	NA	NA	NA	NA	NA	NA	Wild	USDA	NA	NA	NA
RIMPA0018	Zea	mays subsp. parviglumis	Ames	21816	87202	Mexico	Guerrero	NA	NA	NA	NA	NA	Wild	USDA	NA	missing	NA
RIMPA0019	Zea	mays subsp. parviglumis	Ames	21826	87213	Mexico	Guerrero	NA	NA	NA	El Salado.	NA	Wild	USDA	NA	NA	NA
RIMPA0020	Zea	mays subsp. parviglumis	Ames	21828	87215	Mexico	Guerrero	NA	NA	NA	El Salado.	NA	Wild	USDA	NA	NA	NA
RIMPA0021	Zea	mays subsp. parviglumis	Ames	21829	87216	Mexico	Guerrero	NA	NA	NA	El Salado.	NA	Wild	USDA	NA	NA	NA
RIMPA0022	Zea	mays subsp. parviglumis	Ames	21830	87217	Mexico	Guerrero	NA	NA	NA	El Salado.	NA	Wild	USDA	NA	NA	NA
RIMPA0023	Zea	mays subsp. parviglumis	Ames	21847	87237	Unknown	NA	NA	NA	NA	56th Street & Ellis.	NA	Wild	USDA	NA	NA	NA
RIMPA0024	Zea	mays subsp. parviglumis	Ames	21848	87238	Unknown	NA	NA	NA	NA	56th & Ellis Avenue.	NA	Wild	USDA	NA	NA	NA
RIMPA0025	Zea	mays subsp. parviglumis	Ames	21849	87240	Unknown	NA	NA	NA	NA	56th & Ellis Avenue.	NA	Wild	USDA	NA	NA	NA
RIMPA0026	Zea	mays subsp. parviglumis	Ames	21850	87241	Unknown	NA	NA	NA	NA	56th Street.	NA	Wild	USDA	NA	NA	NA
RIMPA0027	Zea	mays subsp. parviglumis	Ames	21851	87242	Unknown	NA	NA	NA	NA	NA	NA	Wild	USDA	NA	NA	NA
RIMPA0028	Zea	mays subsp. parviglumis	Ames	21852	87243	Unknown	NA	NA	NA	NA	NA	NA	Wild	USDA	NA	NA	NA
RIMPA0029	Zea	mays subsp. parviglumis	Ames	21853	87244	Unknown	NA	NA	NA	NA	NA	NA	Wild	USDA	NA	NA	NA
RIMPA0030	Zea	mays subsp. parviglumis	Ames	21855	87246	Unknown	NA	NA	NA	NA	NA	NA	Wild	USDA	NA	NA	NA
RIMPA0031	Zea	mays subsp. parviglumis	Ames	21856	87249	Unknown	NA	NA	NA	NA	NA	NA	Wild	USDA	NA	NA	NA
RIMPA0032	Zea	mays subsp. parviglumis	Ames	21857	87250	Unknown	NA	NA	NA	NA	NA	NA	Wild	USDA	NA	NA	NA
RIMPA0033	Zea	mays subsp. parviglumis	Ames	21860	87255	NA	NA	NA	NA	NA	NA	NA	Wild	USDA	NA	NA	NA
RIMPA0034	Zea	mays subsp. parviglumis	Ames	21861	87257	Mexico	NA	NA	NA	NA	NA	NA	Wild	USDA	NA	NA	NA
RIMPA0035	Zea	mays subsp. parviglumis	Ames	21889	87288	Mexico	Jalisco	NA	NA	NA	Vicinity of El Rodeo.	NA	Wild	USDA	NA	NA	NA
RIMPA0036	Zea	mays subsp. parviglumis	Ames	21894	87293	Mexico	NA	NA	NA	NA	NA	NA	Wild	USDA	NA	NA	NA
RIMPA0037	Zea	mays subsp. parviglumis	PI	331785	246864	Mexico	Michoacan	18.8167	-100.967	800	Quenchendio (Km. 24 Huetamo-Morelia  Michoacan State. Huetamo-Tiquicheo region.	NA	Wild	USDA	NA	NA	NA
RIMPA0038	Zea	mays subsp. parviglumis	PI	384061	288183	Mexico	Guerrero	17.5	-99.5	1100	East 4.5 km of Mazatlan  Guerrero on road to El Salado.	NA	Wild	USDA	NA	NA	NA
RIMPA0039	Zea	mays subsp. parviglumis	PI	384062	288184	Mexico	Guerrero	17.4167	-99.5	1350	East side of highway  1 km. south of Palo Blanco.	NA	Wild	USDA	NA	NA	NA
RIMPA0040	Zea	mays subsp. parviglumis	PI	384063	288185	Mexico	Mexico	18.8333	-100.167	1300	West side of road  41 km. south of Valle de Bravo.	NA	Wild	USDA	NA	NA	NA
RIMPA0041	Zea	mays subsp. parviglumis	PI	384064	288186	Mexico	Guerrero	18.35	-99.85	1550	10 km past Teloloapan  2 km to El Pochote. Limestone soil.	NA	Wild	USDA	NA	NA	NA
RIMPA0042	Zea	mays subsp. parviglumis	PI	384065	288187	Mexico	Guerrero	18.35	-99.85	1600	10 km past Teloloapan  2 km to El Pochote. Limestone soil.	NA	Wild	USDA	NA	NA	NA
RIMPA0043	Zea	mays subsp. parviglumis	PI	384066	288188	Mexico	Guerrero	18.35	-99.85	1700	15 km past Teloloapan  3 km beyond El Pochote.	NA	Wild	USDA	NA	NA	NA
RIMPA0044	Zea	mays subsp. parviglumis	PI	384069	288191	Mexico	Guerrero	18.35	-99.85	1550	10 km past Teloloapan  2 km to El Pochote. Limestone soil.	NA	Wild	USDA	NA	NA	NA
RIMPA0045	Zea	mays subsp. parviglumis	PI	384071	288193	Mexico	Guerrero	18.3333	-100.317	1100	Iguala-Arcelia road  103 km. from Iguala.	NA	Wild	USDA	NA	NA	NA
RIMPA0046	Zea	mays subsp. parviglumis	PI	566686	461657	Mexico	Guerrero	18.2167	-99.2333	1225	Dry hillside  along fences of ejido bottom land  Plan de Timbres  16km beyond Huitzuco and 4km before Paso de Morelos	NA	Wild	USDA	NA	NA	NA
RIMPA0047	Zea	mays subsp. parviglumis	PI	566687	461658	Mexico	Mexico	18.35	-100.2	1135	Roadside  km 100 of Teloloapan-Arcelia road at junction of cross road to Amates Grandes	NA	Wild	USDA	NA	NA	NA
